epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4945.05,0.3055,0.19882,0.82294,0.89144,0.92448,0.93654,0.79859,1.08263,0.53605,1.4556,0.000166149,0.000166149,0.000166149
76,5010.77,0.30081,0.19556,0.82116,0.89207,0.92436,0.93625,0.79806,1.0828,0.53657,1.45683,0.000154982,0.000154982,0.000154982
77,5076.38,0.29639,0.19283,0.81918,0.89249,0.92402,0.93628,0.79764,1.08284,0.53666,1.45812,0.000144161,0.000144161,0.000144161
78,5142.05,0.29635,0.19232,0.81995,0.89285,0.92395,0.93626,0.79705,1.08301,0.53737,1.45956,0.000133695,0.000133695,0.000133695
79,5207.71,0.29418,0.19191,0.81967,0.89328,0.92386,0.93627,0.79707,1.08302,0.53696,1.4607,0.000123596,0.000123596,0.000123596
80,5273.41,0.28984,0.18934,0.81879,0.89292,0.92403,0.93561,0.79648,1.08296,0.53696,1.46168,0.000113873,0.000113873,0.000113873
81,5339.14,0.29037,0.18869,0.81945,0.89353,0.92414,0.93579,0.79645,1.08311,0.53715,1.463,0.000104537,0.000104537,0.000104537
82,5404.64,0.28753,0.18738,0.81755,0.8936,0.92416,0.93567,0.79642,1.08321,0.53751,1.46436,9.55951e-05,9.55951e-05,9.55951e-05
83,5469.94,0.28656,0.18712,0.8182,0.89394,0.92401,0.9351,0.79611,1.08317,0.53821,1.46559,8.70577e-05,8.70577e-05,8.70577e-05
84,5535.1,0.28341,0.18559,0.81645,0.89409,0.92405,0.93506,0.7961,1.08304,0.5384,1.46655,7.89327e-05,7.89327e-05,7.89327e-05
85,5600.38,0.28161,0.18353,0.81602,0.89416,0.92404,0.93498,0.79598,1.08318,0.53863,1.4679,7.12282e-05,7.12282e-05,7.12282e-05
86,5665.47,0.28072,0.18385,0.8167,0.89392,0.9243,0.93494,0.79589,1.08334,0.53917,1.46917,6.39518e-05,6.39518e-05,6.39518e-05
87,5731,0.28048,0.18321,0.81615,0.89482,0.92418,0.93496,0.79605,1.08361,0.53966,1.47045,5.71106e-05,5.71106e-05,5.71106e-05
88,5796.26,0.28192,0.18375,0.81617,0.89504,0.92411,0.93494,0.79588,1.08354,0.54011,1.47153,5.07115e-05,5.07115e-05,5.07115e-05
89,5861.62,0.27828,0.18071,0.81673,0.89549,0.924,0.93494,0.79563,1.08362,0.54047,1.47254,4.47606e-05,4.47606e-05,4.47606e-05
90,5926.9,0.27822,0.18101,0.8159,0.89612,0.92396,0.93486,0.79606,1.0836,0.54033,1.47342,3.9264e-05,3.9264e-05,3.9264e-05
91,6020,0.24424,0.16221,0.80372,0.89653,0.92407,0.93476,0.7957,1.0836,0.54039,1.47449,3.4227e-05,3.4227e-05,3.4227e-05
92,6085.26,0.24097,0.16064,0.80344,0.89685,0.924,0.93474,0.79575,1.08357,0.54115,1.47575,2.96546e-05,2.96546e-05,2.96546e-05
93,6150.59,0.24332,0.16184,0.80531,0.89686,0.92408,0.93469,0.79592,1.08363,0.54079,1.47706,2.55513e-05,2.55513e-05,2.55513e-05
94,6215.8,0.24085,0.16074,0.80402,0.89675,0.92393,0.93473,0.79582,1.08346,0.54093,1.47776,2.19212e-05,2.19212e-05,2.19212e-05
